# Source http://www.theguardian.com/news/datablog/2010/oct/16/greatest-films-of-all-time
Entry|Film|Director|Leading actors|Year of cinema release|No of Oscars won|IMDB link|Guardian film page|Country
64|Alien|Ridley Scott|Ian Holm, John Hurt, Sigourney Weaver, Tom Skerritt|1979|1|http://www.imdb.com/title/tt0078748/|http://www.guardian.co.uk/film/movie/75860/alien|USA
65|The Wizard of Oz|Victor Fleming|Bert Lahr, Frank Morgan, Jack Haley, Judy Garland, Ray Bolger|1939|2|http://www.imdb.com/title/tt0032138/|http://www.guardian.co.uk/film/movie/36148/wizard.of.oz|USA
66|ET|Steven Spielberg|Dee Wallace, Drew Barrymore, Henry Thomas, Peter Coyote|1982|4|http://www.imdb.com/title/tt0083866/|http://www.guardian.co.uk/film/movie/92910/e.t.the.extra-terrestrial|USA
66|Solaris| Andrei Tarkovsky|Donatas Banionis, Juri Jarvet, Nataly Bondarchuk, Natalya Bondarchuk|1972||http://www.imdb.com/title/tt0069293/|http://www.guardian.co.uk/film/movie/76558/solaris|USA
68|Spirited Away|Hayao Miyazaki|Daveigh Chase, Jason Marsden, Jason Marsdon, Mari Natsuki, Miyu Irino, Rumi Hiragi, Suzanne Pleshette|2001|1|http://www.imdb.com/title/tt0245429/|http://www.guardian.co.uk/film/movie/96263/spirited.away|Japan
37|Comedy|Duck Soup|Leo McCarey|Chico Marx, Groucho Marx, Harpo Marx, Margaret Dumont, The Marx Brothers, Zeppo Marx|1933||http://www.imdb.com/title/tt0023969/|http://www.guardian.co.uk/film/movie/36133/duck.soup|USA
38|Comedy|Rushmore|Wes Anderson| Bill Murray, Brian Cox, Jason Schwartzman, Olivia Williams|1998||http://www.imdb.com/title/tt0128445/|http://www.guardian.co.uk/film/movie/79577/rushmore|USA
39|Comedy|Kind Hearts & Coronets|Robert Hamer|Alec Guinness, Dennis Price, Joan Greenwood|1949||http://www.imdb.com/title/tt0041546/|http://www.guardian.co.uk/film/movie/36180/kind-hearts-and-coronets|UK
410| The Thin Red Line|Terrence Malik|Adrien Brody, Ben Chaplin, Nick Nolte, Sean Penn|1998||http://www.imdb.com/title/tt0120863/|http://www.guardian.co.uk/film/movie/74795/thin.red.line|USA
411|Raiders of the Lost Ark|Steven Spielberg|Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey|1981|4|http://www.imdb.com/title/tt0082971/|http://www.guardian.co.uk/film/movie/36332/raiders-of-the-lost-ark|USA
712|Ringu|Hideo Nakata|Nanako Matsushima, Hiroyuki Sanada,  Rikiya Otaka|1998||http://www.imdb.com/title/tt0178868/|http://www.guardian.co.uk/film/movie/121191/ringu|Japan
713|The Haunting|Robert Wise|Claire Bloom, Julie Harris, Richard Johnson|1963||http://www.imdb.com/title/tt0057129/|http://www.guardian.co.uk/film/movie/99697/haunting|USA
714|Texas Chainsaw Massacre|Tobe Hooper| Edwin Neal, Jim Siedow, Marilyn Burns, Paul A Partain|1974||http://www.imdb.com/title/tt0072271/|http://www.guardian.co.uk/film/movie/82763/texas-chainsaw-massacre|USA
715|Dead of Night|Alberto Cavalcanti, Charles Crichton|Googie Withers, Mervyn Johns, Michael Redgrave|1945||http://www.imdb.com/title/tt0037635/|http://www.guardian.co.uk/film/movie/79561/dead.of.night|UK
716|The Cabinet of Dr Caligari|Robert Wiene|Conrad Veidt, Lil Dagover, Werner Krauss|1920||http://www.imdb.com/title/tt0010323/|http://www.guardian.co.uk/film/movie/77300/cabinet-of-dr-caligari|Germany
717|Halloween|John Carpenter|Donald Pleasance, Donald Pleasence, Jamie Lee Curtis, Nancy Loomis, Tony Moran|1978||http://www.imdb.com/title/tt0077651/|http://www.guardian.co.uk/film/movie/104810/halloween|USA
718|Bride of Frankenstein|James Whale|Boris Karloff, Colin Clive, Elsa Lanchester|1935||http://www.imdb.com/title/tt0026138/|http://www.guardian.co.uk/film/movie/34577/bride-of-frankenstein|USA
719|Les Diaboliques|Henri-Georges Clouzot|Paul Meurisse, Simone Signoret, Vera Clouzot|1955||http://www.imdb.com/title/tt0046911/|http://www.guardian.co.uk/film/movie/75862/diaboliques|France
71|Psycho|Alfred Hitchcock|Anthony Perkins, Janet Leigh, Vera Miles|1960||http://www.imdb.com/title/tt0054215/|http://www.guardian.co.uk/film/movie/34630/psycho|USA
720|Audition|Miike Takashi|Eihi Shiina, Ishibashi Renji, Ishibashi Ryo, Matsuda Miyuki, Renji Ishibashi, Ryo Ishibashi, Shiina Eihi|1999||http://www.imdb.com/title/tt0235198/|http://www.guardian.co.uk/film/movie/84815/audition|Korea
412| Bullitt|Peter Yates|Jacqueline Bisset, Robert Vaughn, Steve McQueen|1968|1|http://www.imdb.com/title/tt0062765/|http://www.guardian.co.uk/film/movie/76966/bullitt|USA
412|Ran|Akira Kurosawa|Akira Terao, Daisuke Ryu, Mieko Harada, Tatsuya Nakadai|1985|1|http://www.imdb.com/title/tt0089881/|http://www.guardian.co.uk/film/movie/76633/ran|Japan
414|Die Hard|John McTeirnan|Alan Rickman, Bonnie Bedelia, Bruce Willis|1988||http://www.imdb.com/title/tt0095016/|http://www.guardian.co.uk/film/movie/80851/die-hard|Japan
415|The Adventures of Robin Hood|Michael Curtiz, William Keighley|Basil Rathbone, Claude Rains, Errol Flynn, Olivia De Havilland, Olivia de Havilland, William Keighley|1938|3|http://www.imdb.com/title/tt0029843/|http://www.guardian.co.uk/film/movie/34500/adventures-of-robin-hood|USA
416| The Searchers|John Ford|Jeffrey Hunter, John Wayne, Natalie Wood, Vera Miles, Ward Bond|1956||http://www.imdb.com/title/tt0049730/|http://www.guardian.co.uk/film/movie/115097/searchers|USA
417|Goldfinger|Guy Hamilton| Bernard Lee, Gert Frobe, Harold Sakata, Honor Blackman, Lois Maxwell, Sean Connery, Shirley Eaton, Tania Mallet|1964|1|http://www.imdb.com/title/tt0058150/|http://www.guardian.co.uk/film/movie/79341/goldfinger|UK
418|Full Metal Jacket|Stanley Kubrick|Adam Baldwin, Lee Ermey, Matthew Modine, Vincent D'Onofrio|1987||http://www.imdb.com/title/tt0093058/|http://www.guardian.co.uk/film/movie/76429/full-metal-jacket|USA
46|City of God|Fernando Meirelles|Alexandre Rodrigues, Leandro Firmino da Hora, Matheus Nachtergaele, Phelipe Haagensen|2002||http://www.imdb.com/title/tt0317248/|http://www.guardian.co.uk/film/movie/94028/city.of.god|Brazil
